Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-05-10,0,0,,
2026-05-11,4,6,66.67%,1.5
2026-05-12,5,16,31.25%,5.2
2026-05-13,3,13,23.08%,9.8
2026-05-14,5,12,41.67%,3.1
2026-05-15,0,1,0%,1
2026-05-16,0,5,0%,15.4
2026-05-17,0,7,0%,12.6
2026-05-18,0,4,0%,6.2
2026-05-19,0,7,0%,4.6
2026-05-20,0,1,0%,2
2026-05-21,0,0,,
2026-05-22,0,0,,
2026-05-23,0,0,,
2026-05-24,0,0,,
2026-05-25,0,0,,
2026-05-26,0,0,,
2026-05-27,0,0,,
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,0,,
2026-05-31,0,2,0%,3.5
2026-06-01,0,0,,
2026-06-02,0,1,0%,1
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,0,,
2026-06-06,0,0,,
2026-06-07,0,1,0%,2
2026-06-08,0,0,,
2026-06-09,0,0,,
2026-06-10,0,6,0%,5
2026-06-11,0,2,0%,2
2026-06-12,0,1,0%,3
2026-06-13,0,4,0%,2.8
2026-06-14,1,2,50%,3
2026-06-15,0,3,0%,2.7
2026-06-16,0,2,0%,2.5
2026-06-17,1,3,33.33%,2
2026-06-18,1,7,14.29%,3.4
2026-06-19,0,0,,
2026-06-20,1,3,33.33%,2.3
2026-06-21,0,1,0%,5
2026-06-22,1,7,14.29%,4.4
2026-06-23,0,3,0%,3.7
2026-06-24,0,2,0%,3
2026-06-25,0,3,0%,1.7
2026-06-26,0,0,,
2026-06-27,0,0,,
2026-06-28,1,2,50%,2
2026-06-29,0,2,0%,6.5
2026-06-30,0,1,0%,10
2026-07-01,0,2,0%,7.5
2026-07-02,0,1,0%,10
2026-07-03,0,0,,
2026-07-04,0,2,0%,4
2026-07-05,0,0,,
2026-07-06,0,2,0%,2
2026-07-07,0,3,0%,2.7
2026-07-08,0,0,,
2026-07-09,0,1,0%,1
2026-07-10,0,1,0%,4
2026-07-11,0,1,0%,3
2026-07-12,0,0,,
2026-07-13,0,0,,
2026-07-14,0,3,0%,1.7
2026-07-15,0,3,0%,3.7
2026-07-16,0,1,0%,4
2026-07-17,0,3,0%,5.3
2026-07-18,0,0,,
2026-07-19,0,0,,
2026-07-20,0,3,0%,2.3
2026-07-21,0,1,0%,1
2026-07-22,0,1,0%,2
2026-07-23,0,0,,
2026-07-24,0,0,,
2026-07-25,0,0,,
2026-07-26,0,1,0%,3
2026-07-27,0,1,0%,2
2026-07-28,0,3,0%,31
2026-07-29,0,0,,
2026-07-30,0,1,0%,4
2026-07-31,0,0,,
2026-08-01,0,1,0%,13
2026-08-02,0,0,,
